Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 109, Loss: 3.4704, Val Acc@1: 41.360, Best Acc@1: 42.440
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 110, Loss: 3.1739, Val Acc@1: 41.150, Best Acc@1: 42.440
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 111, Loss: 2.9977, Val Acc@1: 40.810, Best Acc@1: 42.440
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 112, Loss: 3.1397, Val Acc@1: 40.250, Best Acc@1: 42.440
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 113, Loss: 3.3172, Val Acc@1: 43.140, Best Acc@1: 43.140
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 114, Loss: 3.2174, Val Acc@1: 41.930, Best Acc@1: 43.140
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 115, Loss: 3.1845, Val Acc@1: 42.980, Best Acc@1: 43.140
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 116, Loss: 3.1892, Val Acc@1: 44.670, Best Acc@1: 44.670
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 117, Loss: 3.1276, Val Acc@1: 44.680, Best Acc@1: 44.680
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 118, Loss: 2.8685, Val Acc@1: 43.840, Best Acc@1: 44.680
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 119, Loss: 2.9444, Val Acc@1: 45.790, Best Acc@1: 45.790
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 120, Loss: 2.9094, Val Acc@1: 45.980, Best Acc@1: 45.980
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 121, Loss: 2.9191, Val Acc@1: 46.080, Best Acc@1: 46.080
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 122, Loss: 2.8744, Val Acc@1: 44.840, Best Acc@1: 46.080
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 123, Loss: 3.0900, Val Acc@1: 46.690, Best Acc@1: 46.690
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 124, Loss: 2.8298, Val Acc@1: 46.910, Best Acc@1: 46.910
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 125, Loss: 2.6201, Val Acc@1: 47.200, Best Acc@1: 47.200
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 126, Loss: 2.4779, Val Acc@1: 49.080, Best Acc@1: 49.080
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 127, Loss: 2.6502, Val Acc@1: 49.990, Best Acc@1: 49.990
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 128, Loss: 2.5988, Val Acc@1: 47.420, Best Acc@1: 49.990
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 129, Loss: 2.7400, Val Acc@1: 48.580, Best Acc@1: 49.990
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 130, Loss: 2.8138, Val Acc@1: 49.470, Best Acc@1: 49.990
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 131, Loss: 2.5352, Val Acc@1: 49.500, Best Acc@1: 49.990
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 132, Loss: 2.4745, Val Acc@1: 48.570, Best Acc@1: 49.990
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 133, Loss: 2.4675, Val Acc@1: 50.890, Best Acc@1: 50.890
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 134, Loss: 2.3809, Val Acc@1: 50.770, Best Acc@1: 50.890
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 135, Loss: 2.2377, Val Acc@1: 50.860, Best Acc@1: 50.890
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 136, Loss: 2.2743, Val Acc@1: 49.930, Best Acc@1: 50.890
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 137, Loss: 2.3456, Val Acc@1: 50.550, Best Acc@1: 50.890
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 138, Loss: 2.3623, Val Acc@1: 50.880, Best Acc@1: 50.890
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 139, Loss: 2.2403, Val Acc@1: 51.610, Best Acc@1: 51.610
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 140, Loss: 2.4773, Val Acc@1: 49.660, Best Acc@1: 51.610
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 141, Loss: 2.3825, Val Acc@1: 51.990, Best Acc@1: 51.990
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 142, Loss: 2.3036, Val Acc@1: 51.930, Best Acc@1: 51.990
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 143, Loss: 2.0953, Val Acc@1: 52.650, Best Acc@1: 52.650
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 144, Loss: 2.0807, Val Acc@1: 53.330, Best Acc@1: 53.330
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 145, Loss: 2.0118, Val Acc@1: 51.000, Best Acc@1: 53.330
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 146, Loss: 1.9456, Val Acc@1: 52.600, Best Acc@1: 53.330
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 147, Loss: 1.9894, Val Acc@1: 54.560, Best Acc@1: 54.560
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 148, Loss: 1.7622, Val Acc@1: 52.840, Best Acc@1: 54.560
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 149, Loss: 1.7948, Val Acc@1: 55.160, Best Acc@1: 55.160
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 150, Loss: 1.7533, Val Acc@1: 53.230, Best Acc@1: 55.160
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 151, Loss: 1.7951, Val Acc@1: 53.000, Best Acc@1: 55.160
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 152, Loss: 1.6313, Val Acc@1: 53.810, Best Acc@1: 55.160
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 153, Loss: 1.6542, Val Acc@1: 52.690, Best Acc@1: 55.160
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 154, Loss: 1.7273, Val Acc@1: 51.830, Best Acc@1: 55.160
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 155, Loss: 1.5251, Val Acc@1: 54.110, Best Acc@1: 55.160
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 156, Loss: 1.5960, Val Acc@1: 54.460, Best Acc@1: 55.160
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 157, Loss: 1.6179, Val Acc@1: 54.370, Best Acc@1: 55.160
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 158, Loss: 1.4843, Val Acc@1: 55.160, Best Acc@1: 55.160
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 159, Loss: 1.5302, Val Acc@1: 54.740, Best Acc@1: 55.160
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 160, Loss: 1.4005, Val Acc@1: 55.390, Best Acc@1: 55.390
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 161, Loss: 1.4406, Val Acc@1: 57.400, Best Acc@1: 57.400
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 162, Loss: 1.3474, Val Acc@1: 58.150, Best Acc@1: 58.150
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 163, Loss: 1.3701, Val Acc@1: 57.630, Best Acc@1: 58.150
